Date,Title,URL,Rating,Stock,Price,Category,Availability,UPC
2024-05-27,A Light in the Attic,https://books.toscrape.com/a-light-in-the-attic_1000/index.html,3,In stock,51.77,N/A,0,N/A
2024-05-27,Tipping the Velvet,https://books.toscrape.com/tipping-the-velvet_999/index.html,1,In stock,53.74,N/A,0,N/A
2024-05-27,Soumission,https://books.toscrape.com/soumission_998/index.html,1,In stock,50.10,N/A,0,N/A
2024-05-27,Sharp Objects,https://books.toscrape.com/sharp-objects_997/index.html,4,In stock,47.82,N/A,0,N/A
2024-05-27,Sapiens,https://books.toscrape.com/sapiens-a-brief-history-of-humankind_996/index.html,5,In stock,54.23,N/A,0,N/A
2024-05-27,The Requiem Red,https://books.toscrape.com/the-requiem-red_995/index.html,1,In stock,22.65,N/A,0,N/A
2024-05-27,The Dirty Little Secrets of Getting Your Dream Job,https://books.toscrape.com/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,4,In stock,33.34,N/A,0,N/A
2024-05-27,The Coming Woman,https://books.toscrape.com/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,3,In stock,17.93,N/A,0,N/A
2024-05-27,The Boys in the Boat,https://books.toscrape.com/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,4,In stock,22.60,N/A,0,N/A
2024-05-27,The Black Maria,https://books.toscrape.com/the-black-maria_991/index.html,1,In stock,52.15,N/A,0,N/A
2024-05-27,Starving Hearts,https://books.toscrape.com/starving-hearts-triangular-trade-trilogy-1_990/index.html,2,In stock,13.99,N/A,0,N/A
2024-05-27,Shakespeare's Sonnets,https://books.toscrape.com/shakespeares-sonnets_989/index.html,4,In stock,20.66,N/A,0,N/A
2024-05-27,Set Me Free,https://books.toscrape.com/set-me-free_988/index.html,5,In stock,17.46,N/A,0,N/A
2024-05-27,Scott Pilgrim's Precious Little Life,https://books.toscrape.com/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,5,In stock,52.29,N/A,0,N/A
2024-05-27,Rip it Up and Start Again,https://books.toscrape.com/rip-it-up-and-start-again_986/index.html,5,In stock,35.02,N/A,0,N/A
2024-05-27,Our Band Could Be Your Life,https://books.toscrape.com/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,3,In stock,57.25,N/A,0,N/A
2024-05-27,Olio,https://books.toscrape.com/olio_984/index.html,1,In stock,23.88,N/A,0,N/A
2024-05-27,Mesaerion,https://books.toscrape.com/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,1,In stock,37.59,N/A,0,N/A
2024-05-27,Libertarianism for Beginners,https://books.toscrape.com/libertarianism-for-beginners_982/index.html,2,In stock,51.33,N/A,0,N/A
2024-05-27,It's Only the Himalayas,https://books.toscrape.com/its-only-the-himalayas_981/index.html,2,In stock,45.17,N/A,0,N/A
2024-05-27,In Her Wake,https://books.toscrape.com/in-her-wake_980/index.html,1,In stock,12.84,N/A,0,N/A
2024-05-27,How Music Works,https://books.toscrape.com/how-music-works_979/index.html,2,In stock,37.32,N/A,0,N/A
2024-05-27,Foolproof Preserving,https://books.toscrape.com/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,3,In stock,30.52,N/A,0,N/A
2024-05-27,Chase Me,https://books.toscrape.com/chase-me-paris-nights-2_977/index.html,5,In stock,25.27,N/A,0,N/A
2024-05-27,Black Dust,https://books.toscrape.com/black-dust_976/index.html,5,In stock,34.53,N/A,0,N/A
2024-05-27,Birdsong,https://books.toscrape.com/birdsong-a-story-in-pictures_975/index.html,3,In stock,54.64,N/A,0,N/A
2024-05-27,America's Cradle of Quarterbacks,https://books.toscrape.com/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,3,In stock,22.50,N/A,0,N/A
2024-05-27,Aladdin and His Wonderful Lamp,https://books.toscrape.com/aladdin-and-his-wonderful-lamp_973/index.html,3,In stock,53.13,N/A,0,N/A
2024-05-27,Worlds Elsewhere,https://books.toscrape.com/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,5,In stock,40.30,N/A,0,N/A
2024-05-27,Wall and Piece,https://books.toscrape.com/wall-and-piece_971/index.html,4,In stock,44.18,N/A,0,N/A
2024-05-27,The Four Agreements,https://books.toscrape.com/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,5,In stock,17.66,N/A,0,N/A
2024-05-27,The Five Love Languages,https://books.toscrape.com/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,3,In stock,31.05,N/A,0,N/A
2024-05-27,The Elephant Tree,https://books.toscrape.com/the-elephant-tree_968/index.html,5,In stock,23.82,N/A,0,N/A
2024-05-27,The Bear and the Piano,https://books.toscrape.com/the-bear-and-the-piano_967/index.html,1,In stock,36.89,N/A,0,N/A
2024-05-27,Sophie's World,https://books.toscrape.com/sophies-world_966/index.html,5,In stock,15.94,N/A,0,N/A
2024-05-27,Penny Maybe,https://books.toscrape.com/penny-maybe_965/index.html,3,In stock,33.29,N/A,0,N/A
2024-05-27,Maude,https://books.toscrape.com/maude-1883-1993she-grew-up-with-the-country_964/index.html,2,In stock,18.02,N/A,0,N/A
2024-05-27,"In a Dark, Dark Wood",https://books.toscrape.com/in-a-dark-dark-wood_963/index.html,1,In stock,19.63,N/A,0,N/A
2024-05-27,Behind Closed Doors,https://books.toscrape.com/behind-closed-doors_962/index.html,4,In stock,52.22,N/A,0,N/A
2024-05-27,You can't bury them all,https://books.toscrape.com/you-cant-bury-them-all-poems_961/index.html,2,In stock,33.63,N/A,0,N/A
2024-05-27,Slow States of Collapse,https://books.toscrape.com/slow-states-of-collapse-poems_960/index.html,3,In stock,57.31,N/A,0,N/A
2024-05-27,Reasons to Stay Alive,https://books.toscrape.com/reasons-to-stay-alive_959/index.html,2,In stock,26.41,N/A,0,N/A
2024-05-27,Private Paris,https://books.toscrape.com/private-paris-private-10_958/index.html,5,In stock,47.61,N/A,0,N/A
2024-05-27,#HigherSelfie,https://books.toscrape.com/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html,5,In stock,23.11,N/A,0,N/A
2024-05-27,Without Borders,https://books.toscrape.com/without-borders-wanderlove-1_956/index.html,2,In stock,45.07,N/A,0,N/A
2024-05-27,When We Collided,https://books.toscrape.com/when-we-collided_955/index.html,1,In stock,31.77,N/A,0,N/A
2024-05-27,"We Love You, Charlie Freeman",https://books.toscrape.com/we-love-you-charlie-freeman_954/index.html,5,In stock,50.27,N/A,0,N/A
2024-05-27,Untitled Collection,https://books.toscrape.com/untitled-collection-sabbath-poems-2014_953/index.html,4,In stock,14.27,N/A,0,N/A
2024-05-27,Unseen City,https://books.toscrape.com/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html,4,In stock,44.18,N/A,0,N/A
2024-05-27,Unicorn Tracks,https://books.toscrape.com/unicorn-tracks_951/index.html,3,In stock,18.78,N/A,0,N/A
2024-05-27,Unbound,https://books.toscrape.com/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html,1,In stock,25.52,N/A,0,N/A
2024-05-27,Tsubasa,https://books.toscrape.com/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html,1,In stock,16.28,N/A,0,N/A
2024-05-27,Throwing Rocks at the Google Bus,https://books.toscrape.com/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html,3,In stock,31.12,N/A,0,N/A
2024-05-27,This One Summer,https://books.toscrape.com/this-one-summer_947/index.html,4,In stock,19.49,N/A,0,N/A
2024-05-27,Thirst,https://books.toscrape.com/thirst_946/index.html,5,In stock,17.27,N/A,0,N/A
2024-05-27,The Torch Is Passed,https://books.toscrape.com/the-torch-is-passed-a-harding-family-story_945/index.html,1,In stock,19.09,N/A,0,N/A
2024-05-27,The Secret of Dreadwillow Carse,https://books.toscrape.com/the-secret-of-dreadwillow-carse_944/index.html,1,In stock,56.13,N/A,0,N/A
2024-05-27,The Pioneer Woman Cooks,https://books.toscrape.com/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html,1,In stock,56.41,N/A,0,N/A
2024-05-27,The Past Never Ends,https://books.toscrape.com/the-past-never-ends_942/index.html,4,In stock,56.50,N/A,0,N/A
2024-05-27,The Natural History of Us,https://books.toscrape.com/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html,3,In stock,45.22,N/A,0,N/A
2024-05-27,The Nameless City,https://books.toscrape.com/the-nameless-city-the-nameless-city-1_940/index.html,4,In stock,38.16,N/A,0,N/A
2024-05-27,The Murder That Never Was,https://books.toscrape.com/the-murder-that-never-was-forensic-instincts-5_939/index.html,3,In stock,54.11,N/A,0,N/A
2024-05-27,The Most Perfect Thing,https://books.toscrape.com/the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html,4,In stock,42.96,N/A,0,N/A
2024-05-27,The Mindfulness and Acceptance Workbook for Anxiety,https://books.toscrape.com/the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html,4,In stock,23.89,N/A,0,N/A
2024-05-27,The Life-Changing Magic of Tidying Up,https://books.toscrape.com/the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html,3,In stock,16.77,N/A,0,N/A
2024-05-27,The Inefficiency Assassin,https://books.toscrape.com/the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html,5,In stock,20.59,N/A,0,N/A
2024-05-27,The Gutsy Girl,https://books.toscrape.com/the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html,1,In stock,37.13,N/A,0,N/A
2024-05-27,The Electric Pencil,https://books.toscrape.com/the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html,1,In stock,56.06,N/A,0,N/A
2024-05-27,The Death of Humanity,https://books.toscrape.com/the-death-of-humanity-and-the-case-for-life_932/index.html,4,In stock,58.11,N/A,0,N/A
2024-05-27,The Bulletproof Diet,https://books.toscrape.com/the-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/index.html,3,In stock,49.05,N/A,0,N/A
2024-05-27,The Art Forger,https://books.toscrape.com/the-art-forger_930/index.html,3,In stock,40.76,N/A,0,N/A
2024-05-27,The Age of Genius,https://books.toscrape.com/the-age-of-genius-the-seventeenth-century-and-the-birth-of-the-modern-mind_929/index.html,1,In stock,19.73,N/A,0,N/A
2024-05-27,The Activist's Tao Te Ching,https://books.toscrape.com/the-activists-tao-te-ching-ancient-advice-for-a-modern-revolution_928/index.html,5,In stock,32.24,N/A,0,N/A
2024-05-27,Spark Joy,https://books.toscrape.com/spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html,4,In stock,41.83,N/A,0,N/A
2024-05-27,Soul Reader,https://books.toscrape.com/soul-reader_926/index.html,2,In stock,39.58,N/A,0,N/A
2024-05-27,Security,https://books.toscrape.com/security_925/index.html,2,In stock,39.25,N/A,0,N/A
2024-05-27,"Saga, Volume 6",https://books.toscrape.com/saga-volume-6-saga-collected-editions-6_924/index.html,3,In stock,25.02,N/A,0,N/A
2024-05-27,"Saga, Volume 5",https://books.toscrape.com/saga-volume-5-saga-collected-editions-5_923/index.html,2,In stock,51.04,N/A,0,N/A
2024-05-27,Reskilling America,https://books.toscrape.com/reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html,2,In stock,19.83,N/A,0,N/A
2024-05-27,"Rat Queens, Vol. 3",https://books.toscrape.com/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html,3,In stock,50.40,N/A,0,N/A
2024-05-27,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01",https://books.toscrape.com/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html,5,In stock,13.61,N/A,0,N/A
